name	glass-size (oz)	category		measurement-1	Units	ingredient-1	measurement-2	units	ingredient-2	measurement-3	units	ingredient-3	measurement-4	units	ingredient-4	Measurement-5	Units	ingredient-5	measurement-6	units	ingredient-6	special ingredients	instructions	glass	glass-size (oz)
The 21st Century	6	Tequila		1	oz	Absinthe	1	oz	 Absinthe	1.5	oz	 Blanco tequila	0.75	oz	 Fresh Lime Juice	0.75	oz	 White creme de cacao					Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.	Cocktail Glass	6
Pollyanna Cocktail	6	Cocktail Classics		3	count	orange peel	3	count	pineapple	2	oz	 Old Mr. Boston Dry Gin	0.5	oz	 sweet vermouth	0.50	tsp	grenadine					"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass."	Cocktail Glass	6
Toreador	6	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Dark creme de cacao	0.5	oz	 half-and-half										"Whipped Cream, Cocoa"	"Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa."	Cocktail Glass	6
Pink Squirrel Cocktail	6	Cocktail Classics		1	oz	 Mr. Boston Creme de Noyaux 	1	oz	 Old Mr. Boston White Creme de Cacao	1	oz	 Light Sweet Cream											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Pink Lady Cocktail	6	Cocktail Classics		1	oz	 Egg White	1	oz	 Grenadine	1	oz	 Sweet Cream	1.5	oz	 Old Mr. Boston Dry Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Tijuana Taxi	7	Tequila		2	oz	 Gold tequila	1	oz	 Blue curacao	1	oz	 Tropical fruit schnapps	1	count	 Lemon-lime soda							"Orange Slice, Cherry"	Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with an orange slice and a cherry.	Highball Glass	7
Tia Juanathan	7	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Fresh Lime Juice	0.5	oz	 Aperol	0.5	oz	 Yellow Chartreuse	1.00	oz	 Soda water				Orange Slice	Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with an orange slice.	Highball Glass	7
Phoebe Snow Cocktail	6	Cocktail Classics		1.5	oz	 Dubonnet	1.5	oz	 Old Mr. Boston Five Star Brandy	0.5	oz	 Absinthe Substitute											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Tequonic	6	Tequila		2	oz	 Blanco tequila	0.25	oz	 Fresh lemon or lime juice	1	oz	 Tonic water										Lime Slice	"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with a lime slice"	Old-Fashioned Glass	6
Tequini	6	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Dry Vermouth	1	oz	 Angostura bitters										Lemon Twist	Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Passion Daiquiri Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston Rum	1	oz	 Juice of a Lime	1	oz	 Powdered Sugar	1	oz	 Passion Fruit Juice								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Parisian Blonde Cocktail	6	Cocktail Classics		0.75	oz	 Sweet Cream	0.75	oz	 Old Mr. Boston Triple Sec	0.75	oz	 Jamaica Rum											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Tequila Sunrise	7	Tequila		2	oz	 Blanco tequila	4	oz	 Orange juice	0.75	oz	 Grenadine											"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise"""	Highball Glass	7
Coffee Grasshopper	6	Brandy		0.75	oz	 Coffee-flavored brandy	0.75	oz	 White creme de menthe	0.75	oz	 half-and-half											Shake with ice and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Tequila Straight	1	Tequila		1	oz	 Coarse salt	1.5	oz	 Blanco tequila	1	oz	 Lime wedge										"Lime Slice, Salt"	"Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime slice in other hand. Taste the salt, drink the tequila, and then suck the lime."	Shot Glass	1
Tequila Sour	2	Tequila		2	oz	 Blanco tequila	0.75	oz	 Fresh lemon juice	0.75	oz	 Simple Syrup										"Lemon Slice, Cherry"	Shake with ice and strain into chilled sour glass. Garnish with a lemon slice and a cherry.	Cordial or Pony Glass	2
Tequila Smash	6	Tequila		1	oz	 Blueberries	4	oz	 Bing cherries	2	oz	 Blanco tequila	0.5	oz	 Maraschino liqueur	3.00	oz	 Fresh Lime Juice				"Lime Slice, Blueberry, Cherry"	Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.	Old-Fashioned Glass	6
Tequila Pink	6	Tequila		1.5	oz	 Blanco tequila	1	oz	 Dry Vermouth	0.25	oz	 Grenadine											Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Tequila Old-Fashioned	6	Tequila		1.5	oz	 Blanco tequila	1	oz	 Simple Syrup	1	oz	 Angostura Bitters	1	oz	 Soda water							Lemon Twist	"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Garnish with a lemon twist."	Old-Fashioned Glass	6
Rob Roy Cocktail	6	Cocktail Classics		0.75	oz	 Sweet Vermouth	1.5	oz	 Desmond & Duff Scotch Whisky														Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Tequila Mockingbird	6	Tequila					0.25	oz	 Minced ginger	1.75	oz	 Blanco tequila	1.5	oz	 Agave nectar	3.00	oz	 Fresh Lime Juice				"Lime Slice, Salt"	Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with a lime slice.	Cocktail Glass	6
Tequila Matador	6	Tequila		1.5	oz	 Blanco tequila	2	oz	 Pineapple Juice	0.5	oz	 Fresh Lime Juice											Shake with ice and strain into chilled champagne flute.	Champagne Flute	6
Tequila Manhattan	6	Tequila		2	oz	 Blanco tequila	1	oz	 Sweet Vermouth	1	oz	 Angostura Bitters										Cherry	Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a cherry.	Old-Fashioned Glass	6
T.N.T. Cocktail	6	Cocktail Classics		1.5	oz	 Old Thompson Blended Whiskey	1.5	oz	 Absinthe Substitute														Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Thunderclap Cocktail	6	Cocktail Classics		0.75	oz	 Old Mr. Boston Dry Gin	0.75	oz	 Old Thompson Blended Whiskey	0.75	oz	 Old Mr. Boston Five Star Brandy											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Thunder Cocktail	6	Cocktail Classics		1	oz	 Powdered Sugar	1	oz	 Egg Yolk	1.5	oz	 Old Mr. Boston Five Star Brandy	1	oz	 Cayenne Pepper								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Tequila Collins	14	Tequila		2	oz	 Blanco tequila	0.5	oz	 Fresh lemon juice	0.5	oz	 Simple Syrup	1	count	 Soda water							"Lemon Slice, Orange Slice, Cherry"	"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with a lemon slice, an orange slice, and a cherry. Serve with straw."	Collins Glass	14
White Lady Cocktail	6	Cocktail Classics		1	oz	 Egg White	1	oz	 Powdered Sugar	1	oz	 Sweet Cream	1.5	oz	 Old Mr. Boston Dry Gin								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Tequila Canyon	14	Tequila		1.5	oz	 Blanco tequila	0.25	oz	 Triple Sec	1	oz	 Cranberry Juice	1	oz	 Pineapple Juice	0.25	oz	 Orange juice				Lime Slice	Pour into Collins glass and stir. Add ice. Garnish with a lime slice. Serve with straw.	Collins Glass	14
Chicago Cocktail	6	Brandy					1	oz	 Brandy	0.5	oz	 Fresh lemon juice	0.25	oz	 Orange curacao	0.25	oz	 Maraschino liqueur				Sugar	Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.	Old-Fashioned Glass	6
Sunday Confession	14	Tequila		1	oz	 Blanco tequila	1	oz	 Limoncello	0.5	oz	 Fresh lemon juice	1	count	Ginger beer							Lemon Slice	Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Garnish with a lemon slice.	Collins Glass	14
Strawberry Margarita	6	Tequila					3	oz	" Fresh strawberries, cut in half"	0.75	oz	 Strawberry schnapps	1.5	oz	 Blanco tequila	0.75	oz	 Triple Sec	0.75	oz	" Fresh Lime Juice, whole strawberry"	"Strawberry, Sugar"	"If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Garnish with a strawberry."	Cocktail Glass	6
Western Rose Cocktail	6	Cocktail Classics		0.5	oz	 Old Mr. Boston Apricot Flavored Brandy	1	oz	 Old Mr. Boston Dry Gin	0.5	oz	 Dry Vermouth	0.25	oz	 Lemon Juice								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Widow's Kiss Cocktail	6	Cocktail Classics		1	oz	 Old Mr. Boston Five Star Brandy	0.5	oz	 Yellow Chartreuse	0.5	oz	 Benedictine	1	oz	 Peychaud Bitters								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Spice Of Life	6	Tequila		3	oz	 Cucumber	12	count	Fresh mint leaves	0.75	oz	 Simple Syrup	2	oz	 Jalapeno-Infused Tequila	3.00	oz	 Fresh Lime Juice				"Cucumber, Mint"	"Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with a cucumber slice and mint sprig."	Old-Fashioned Glass	6
Widow's Dream Cocktail	6	Cocktail Classics		1.5	oz	 Benedictine	1	oz	 Whole Egg													Sweet Cream	Shake with ice and strain into cocktail glass. Top with one teaspoon of sweet cream.	Cocktail Glass	6
Vodka Gypsy Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston Vodka	0.75	oz	 Benedictine	1	oz	 Angostura Bitters											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
South Of The Border	2	Tequila		1	oz	 Blanco tequila	0.75	oz	 Coffee-flavored brandy	0.5	oz	 Fresh Lime Juice										Lime Slice	Shake with ice and strain into chilled sour glass. Garnish with a lime slice.	Cordial or Pony Glass	2
Vodka Grasshopper Cocktail	6	Cocktail Classics		0.75	oz	 Old Mr. Boston Vodka	0.75	oz	 Old Mr. Boston Green Creme de Menthe	0.75	oz	 Old Mr. Boston White Creme de Cacao											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Violet Fizz Juice	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	0.5	oz	 Powdered Sugar	1.5	oz	 Old Mr. Boston Dry Gin	1	oz	 Creme Yvette								Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.	Highball Glass	7
Smoked Margarita	6	Tequila		0.5	oz	" Smoky Scotch whisky, such as Islay or Skye"	1	oz	 Reposado tequila	1	oz	 Triple Sec	0.5	oz	 Fresh lemon juice	3.00	oz	 Fresh Lime Juice				Lime Slice	Pour Scotch into old-fashioned glass and swirl to coat. Add ice. Shake remaining ingredients with ice and strain into glass. Garnish with a lime slice	Old-Fashioned Glass	6
Sloe Tequila	6	Shooters		1	oz	 Blanco tequila	0.5	oz	 Sloe gin	0.5	oz	 Fresh Lime Juice										Cucumber Twist	Combine ingredients with 1/2 cup crushed ice in blender on low speed. Pour into old-fashioned glass. Garnish with a cucumber twist.	Old-Fashioned Glass	6
Queen Elizabeth Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston Dry Gin	0.5	oz	 Dry Vermouth	1.5	oz	 Benedictine											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Silk Stockings	6	Tequila		1.5	oz	 Blanco tequila	1	oz	 White creme de cacao	1.5	oz	 Heavy cream	1	oz	 Grenadine								Shake ingredients with ice and strain into chilled cocktail glass. Top with cinnamon.	Cocktail Glass	6
Orchid Cocktail	6	Cocktail Classics		2	oz	 Old Mr. Boston Dry Gin	1	oz	 Egg White	1	oz	 Creme Yvette											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Orange Milk Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	2	oz	 Old Mr. Boston Orange Flavored Gin 	2	oz	 Milk								Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir.	Highball Glass	7
Orange Gin Rickey	7	Cocktail Classics		0.5	oz	 Juice of a Lime	2	oz	 Old Mr. Boston Orange Flavored Gin 														Pour into highball glass over ice cubes and fill with carbonated water. Garnish with a lime slice. Stir.	Highball Glass	7
Orange Gin Highball	7	Cocktail Classics		2	oz	 Old Mr. Boston Orange Flavored Gin 	1	oz	ginger ale													Lemon Twist	"Pour into highball glass over ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir."	Highball Glass	7
Orange Gin Fizz	7	Cocktail Classics		0.5	oz	 Juice of a Lemon	1	oz	 Powdered Sugar	2	oz	 Old Mr. Boston Orange Flavored Gin 											Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.	Highball Glass	7
Orange Gin Collins	14	Cocktail Classics		0.5	oz	 Juice of a Lemon	2	oz	 Old Mr. Boston Orange Flavored Gin 													"Lemon Slice, Orange Slice, Cherry"	"Shake with ice and strain into collins glass. Add several cubes of ice, fill with carbonated water and stir. Garnish with a lemon slice and an orange slice and a cherry. Serve with straws."	Collins Glass	14
Sidewinder	14	Tequila		1.5	oz	 Reposado tequila	0.5	oz	 Campari	0.5	oz	" Vanilla syrup, preferably B.A. Reynold's"	0.5	oz	 Fresh Lime Juice	0.25	oz	 Mezcal	2	oz	" Ginger beer, 1 oz"	Mint	Fill Collins glass 1/2 full with crushed ice. Add all ingredients. Swizzle with barspoon until glass is frosted. Fill to brim with additional ice. Garnish with mint.	Collins Glass	14
Orange Blossom Cocktail	6	Cocktail Classics		1	oz	 Old Mr. Boston Dry Gin	1	oz	 Orange Juice	0.25	oz	 Powdered Sugar											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Shady Lady	7	Tequila		1	oz	 Blanco tequila	1	oz	 Melon liqueur	4	oz	 Fresh grapefruit juice	4	oz	 Fresh grapefruit juice							"Melon Slice, Cherry"	Combine all ingredients in ice-filled highball glass and stir. Garnish with a lime slice and a melon slice or a cherry.	Highball Glass	7
Cherry Blossom	6	Brandy					1	oz	 Brandy	0.5	oz	 cherry-flavored brandy	0.5	oz	 Fresh lemon juice	0.75	oz	 Triple Sec	1	oz	 Grenadine	"Cherry, Sugar"	Rim chilled cocktail glass with brandy and sugar. Shake ingredients with ice and strain into glass. Garnish with a cherry.	Cocktail Glass	6
The Sfozando	6	Tequila		1	oz	 Mezcal	0.75	oz	 Rye Whiskey	0.5	oz	 Dry Vermouth	0.5	oz	 Benedictine	1.00	oz	 Chocolate bitters				Orange Twist	Stir with ice and strain into cocktail glass. Garnish with a orange twist.	Cocktail Glass	6
Napoleon Cocktail	6	Cocktail Classics		2	oz	 Old Mr. Boston Dry Gin	0.5	oz	 Curacao	0.5	oz	 Dubonnet											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Moulin Rouge Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston Sloe Gin	0.75	oz	 Sweet Vermouth	1	oz	 Bitters											Stir with ice and strain cocktail glass.	Cocktail Glass	6
Sea Of Cortez	6	Tequila		1.5	oz	 Blanco tequila	1	oz	 Fresh Lime Juice	0.75	oz	 Creme de Cassis	0.25	oz	 Orange curacao								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Satin Sheets	6	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Falernum	0.5	oz	 Simple Syrup	0.75	oz	 Fresh Lime Juice							Lime Slice	Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.	Cocktail Glass	6
Santana Sling	14	Tequila		1.5	oz	 Reposado tequila	0.5	oz	 Cherry Heering	0.25	oz	 Batavia arrack or light rum	0.5	oz	 Fresh Lime Juice	3.00	oz	 Ginger beer					Pour first four ingredients into ice-filled Collins glass and stir. Add ginger beer and stir again.	Collins Glass	14
Rosita	6	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Sweet Vermouth	0.5	oz	 Dry Vermouth	0.5	oz	 Campari	1.00	oz	 Angostura Bitters				Lemon Twist	Stir with ice. Strain into ice-filled old-fashioned glass. Garnish with a lemon twist.	Old-Fashioned Glass	6
Mariposa Cocktail	6	Cocktail Classics		1	oz	 Old Mr. Boston Rum	0.5	oz	 Old Mr. Boston Five Star Brandy	1	oz	 Lemon Juice	1	oz	 Orange Juice	1.00	oz	 Grenadine					Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Margarita Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston Tequila	0.5	oz	 Old Mr. Boston Triple Sec	1	oz	 Lemon or Lime Juice										Salt	"Rub rim of cocktail glass with rind of lemon or lime, dip rim in salt. Shake ingredients with ice and strain into the salt-rimmed glass. "	Cocktail Glass	6
The Refuge	6	Tequila		1.5	oz	 Blanco tequila	0.5	oz	 Aperol	0.25	oz	 Fresh Lime Juice	0.25	oz	 Grapefruit Juice	0.25	oz	 Agave nectar					Shake with ice. Strain into chilled cocktail glass.	Cocktail Glass	6
Manhattan Cocktail (dry)	6	Cocktail Classics		0.75	oz	 Dry Vermouth	1.5	oz	 Old Thompson Blended Whiskey													Olive	Stir with ice and strain into cocktail glass. Garnish with an olive.	Cocktail Glass	6
Mamie Taylor	14	Cocktail Classics		0.5	oz	 Juice of a Lime	2	oz	 Desmond & Duff Scotch Whisky														Fill collins glass with ginger ale and ice. Stir.	Collins Glass	14
Quetzalcoatl	6	Tequila		1	oz	 Blanco tequila	0.75	oz	 Mezcal	0.5	oz	 Creme de peche	0.5	oz	 Guava puree	0.50	oz	 Grapefruit Juice				Grapefruit Twist	Shake with ice and strain into cocktail glass. Garnish with a grapefruit twist.	Cocktail Glass	6
Zero Mint	6	Cocktail Classics		1	oz	 Mr. Boston Creme de menthe	1	oz	water														For each serving chill 2 oz. Old Mr. Boston Creme de Menthe (Green) mixed with 1 oz. water in freezer compartment of refrigerator for 2 hours or longer if desired. (Does not have to be frozen solid.) Serve in cocktail glasses.	Cocktail Glass	6
Purple Pancho	6	Tequila					1	oz	 Blanco tequila	0.5	oz	 Blue curacao	0.5	oz	 Sloe gin	3.00	oz	 Fresh Lime Juice	1	oz	" each Fresh lemon juice, simple syrup"	Lime Slice	Rim chilled cocktail or margarita glass with lime wedge and sugar. Shake remaining ingredients with ice and pour with ice into glass. Garnish with a lime slice	Cocktail Glass	6
Midnight Express	6	Rum - Daiquiris		1.5	oz	 Dark rum	0.5	oz	 Triple Sec	0.75	oz	 Fresh Lime Juice	0.25	oz	 Fresh lemon juice	0.50	oz	 Simple Syrup					Shake with ice and pour into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
London Special Cocktail	6	Cocktail Classics		1	oz	orange peel	1	oz	lump sugar	2	count	bitters	1	count	champagne								Put a large orange twist into champagne glass. Add 1 lump sugar and 2 dashes bitters. Fill with well-chilled champagne and stir.	Champagne Flute	6
Mary Pickford Cocktail	6	Rum - Daiquiris		1.5	oz	 Light Rum	0.75	oz	 Pineapple Juice	0.25	oz	 Maraschino liqueur	0.25	oz	 Grenadine								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Charles Cocktail	6	Brandy		1.5	oz	 Brandy	1.5	oz	 Sweet Vermouth	1	oz	 Angostura Bitters											Stir with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Martinique Rose	6	Rum - Daiquiris		2	oz	 Aged rhum agricole	0.5	oz	 Amaretto	0.75	oz	 Fresh Lime Juice	0.75	oz	 Grapefruit Juice	0.50	oz	 orgeat or almond syrup					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Mariposa	6	Rum - Daiquiris		1	oz	 Light Rum	0.5	oz	 Brandy	0.5	oz	 Fresh lemon juice	0.5	oz	 Orange juice	1.00	oz	 Grenadine					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Mandeville	6	Rum - Daiquiris		1.5	oz	 Light Rum	1	oz	 Dark rum	0.5	oz	 Fresh lemon juice	1	oz	 Anisette	1.00	oz	 Grenadine	4	oz	 Cola		Shake first five ingredients with ice and strain into ice-filled old fashioned glass. Top with cola.	Old-Fashioned Glass	6
K.C.B. Cocktail	6	Cocktail Classics		0.5	oz	 Old Mr. Boston Kummel	1.5	oz	 Old Mr. Boston Dry Gin	0.25	oz	 Old Mr. Boston Apricot Flavored Brandy	0.25	oz	 Lemon Juice							Lemon Twist	Shake with ice and strain into cocktail glass. Garnish with a lemon twist.	Cocktail Glass	6
Malmaison	6	Rum - Daiquiris		1	oz	 Anisette	1	oz	 Light Rum	0.5	oz	 Cream sherry	1	oz	 Fresh lemon juice								Rim chilled cocktail glass with anisette. Shake remaining ingredients with ice. Strain into glass.	Cocktail Glass	6
Mai-Tai (Trader Vic Version)	6	Rum - Daiquiris		2	oz	" Dark rum, preferably Jamaican"	0.5	oz	 Orange curacao	1	oz	 Fresh lime juice (reserve 1/2 lime shell for garnish)	0.5	oz	 Orgeat Syrup	0.25	oz	 Rock candy syrup or simple syrup				"Lime Twist, Mint, Pineapple Slice, Cherry"	"Shake ingredients without ice. Strain into ice-filled old-fashioned glass. Garnish with a lime twist, mint, and a skewered pineapple and cherry."	Old-Fashioned Glass	6
Jersey Lightning Cocktail	6	Cocktail Classics		1.5	oz	 Apple Brandy	0.5	oz	 Sweet Vermouth	1	oz	 Juice of a Lime											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Lumination	6	Rum - Daiquiris		2	oz	 Fresh ginger	1	oz	 Simple Syrup	2	oz	 Dark rum	1	oz	 VS cognac	1.00	oz	" each Fresh lemon juice, Angostura bitters"				Lemon Twist	Muddle ginger in syrup in mixing glass. Add remaining ingredients and ice and shake. Strain into chilled champagne flute. Garnish with a lemon twist.	Champagne Flute	6
Jamaica Glow Cocktail	6	Cocktail Classics		1	oz	 Old Mr. Boston Dry Gin	1	oz	 Claret	1	oz	 Orange Juice	1	oz	 Jamaica Rum								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Lounge Lizard	14	Rum - Daiquiris		1	oz	 Dark rum	0.5	oz	 Amaretto	1	oz	 Cola										Lime Slice	Pour rum and amaretto into ice-filled Collins glass. Fill with cola and stir. Garnish with a lime slice.	Collins Glass	14
Jack-in-the-Box Cocktail	6	Cocktail Classics		1	oz	 Apple Brandy	1	oz	 Pineapple Juice	1	oz	 Bitters											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Irish Whisky Cocktail	6	Cocktail Classics		0.5	oz	 Old Mr. Boston Triple Sec	0.5	oz	 Absinthe Substitute	0.25	oz	 Maraschino	1	oz	 Bitters	2.00	oz	 Irish Whiskey				Olive	Stir with ice and strain into cocktail glass. Garnish with an olive.	Cocktail Glass	6
Look Out Below	6	Rum - Daiquiris		1.5	oz	 151-Proof Rum	0.5	oz	 Fresh Lime Juice	0.25	oz	 Grenadine											Shake with ice and strain into ice-filled old-fashioned glass.	Old-Fashioned Glass	6
Little Princess Cocktail	6	Rum - Daiquiris		1.5	oz	 Light Rum	1.5	oz	 Sweet Vermouth														Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Little Devil Cocktail	6	Rum - Daiquiris		0.75	oz	 Light Rum	0.75	oz	 Gin	0.5	oz	 Fresh lemon juice	0.25	oz	 Triple Sec								Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Champs Elysees Cocktail	6	Brandy		1	oz	 Brandy	0.5	oz	 Yellow Chartreuse	0.5	oz	 Fresh lemon juice	1	oz	 Simple Syrup	1.00	oz	 Angostura Bitters					Shake with ice and strain into chilled cocktail glass.	Cocktail Glass	6
Hop Toad Cocktail 	6	Cocktail Classics		0.5	oz	 Juice of a Lime	0.75	oz	 Old Mr. Boston Apricot Flavored Brandy	0.75	oz	 Old Mr. Boston Rum											Stir with ice and strain into cocktail glass.	Cocktail Glass	6
Level headed Cocktail	8	Rum - Daiquiris		1.5	oz	 Aged rhum agricole	1	oz	 Cold brewed coffee	0.5	oz	 Allspice liqueur (pimento dram)	0.25	oz	 Simple Syrup	1.00	oz	 Angostura Bitters					Shake with ice and strain into snifter.	Brandy Snifter	8
La Vita Dulce	6	Rum - Daiquiris		1.5	oz	 Spiced rum	0.75	oz	 Mezcal	0.75	oz	 Fresh Lime Juice	0.75	oz	 Simple Syrup							Cinnamon	Shake with ice and strain into chilled cocktail glass. Top with cinnamon.	Cocktail Glass	6
Hole-in-One Cocktail	6	Cocktail Classics		1.75	oz	 Desmond & Duff Scotch Whisky	0.75	oz	 Dry Vermouth	0.25	oz	 Lemon Juice	1	oz	 Orange Bitters								Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Ko Adang	14	Rum - Daiquiris		2	oz	 Dark rum	1	oz	 Coconut rum	0.5	oz	 Ginger liqueur	0.5	oz	 Mango nectar	0.50	oz	 Cream of coconut	0.5	oz	" Fresh Lime Juice, lime wheel"	Lime Slice	Shake with ice and strain into ice-filled Collins glass. Garnish with a lime slice.	Collins Glass	14
Knickerbocker Special Cocktail	6	Rum - Daiquiris		2	oz	 Light Rum	0.5	oz	 Triple Sec	1	oz	 Fresh lemon juice	1	oz	 Orange juice	1.00	oz	 Raspberry Syrup				Pineapple Slice	Shake with ice and strain into chilled cocktail glass. Garnish with a pineapple slice.	Cocktail Glass	6
Hair Raiser Cocktail	6	Cocktail Classics		1.5	oz	 Old Mr. Boston 100 proof Vodka	0.5	oz	 Old Mr. Boston Rock and Rye	1	oz	 Lemon Juice											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Green Opal Cocktail	6	Cocktail Classics		0.5	oz	 Old Mr. Boston Dry Gin	0.5	oz	 Old Mr. Boston Anisette 	1	oz	 Absinthe Substitute											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Jamaican Ginger	14	Rum - Daiquiris		1.5	oz	 Light Rum	1	oz	 Dark rum	0.5	oz	 Falernum	0.5	oz	 Fresh Lime Juice	1.00	oz	 Angostura Bitters	2	oz	 Ginger ale	Lime Slice	Stir first five ingredients in ice-filled Collins glass. Top with ginger ale. Garnish with a lime slice.	Collins Glass	14
Green Dragon Cocktail	6	Cocktail Classics		0.5	oz	 Juice of a Lemon	0.5	oz	 Old Mr. Boston Kummel	0.5	oz	 Old Mr. Boston Green Creme de Menthe	1.5	oz	 Old Mr. Boston Dry Gin	1.00	oz	 Orange Bitters					Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Grasshopper Cocktail	6	Cocktail Classics		0.75	oz	 Old Mr. Boston Green Creme de Menthe	0.75	oz	 Old Mr. Boston White Creme de Cacao	0.75	oz	 Light Sweet Cream											Shake with ice and strain into cocktail glass.	Cocktail Glass	6
Jamaican Crawler	14	Rum - Daiquiris		1	oz	 Light Rum	1	oz	 Melon liqueur	3	oz	 Pineapple Juice	1	oz	 Grenadine								Shake first three ingredients with ice and pour into Collins glass. Add grenadine and stir.	Collins Glass	14
Golden Slipper Cocktail	6	Cocktail Classics		0.75	oz	 Yellow Chartreuse	2	oz	 Old Mr. Boston Apricot Flavored Brandy													Egg Yolk	Stir with ice and strain into cocktail glass. Top with an unbroken egg yolk.	Cocktail Glass	6
Jade	6	Rum - Daiquiris		1.5	oz	 Light Rum	0.5	oz	 Fresh Lime Juice	0.5	oz	 Green creme de menthe	0.5	oz	 Triple Sec	0.50	oz	 Simple Syrup Scant			 	Lime Slice	Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.	Cocktail Glass	6
